timeframe,emisor,receptor,dia_corte,meses_recurrentes,tx_totales,monto_total,monto_promedio,interpretabilidad
todo_el_tiempo,P0014,P0245,21,1,1,65111.5,65111.5,"En 'todo_el_tiempo', el emisor P0014 pagó de forma mensual recurrente al receptor P0245 durante 1 meses consecutivos, siempre cerca del día 21. Se identificaron 1 pagos por un total de 65,111.50 y un promedio mensual de 65,111.50, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
todo_el_tiempo,P0079,P0243,3,1,1,65038.68,65038.68,"En 'todo_el_tiempo', el emisor P0079 pagó de forma mensual recurrente al receptor P0243 durante 1 meses consecutivos, siempre cerca del día 3. Se identificaron 1 pagos por un total de 65,038.68 y un promedio mensual de 65,038.68, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
todo_el_tiempo,P0147,P0016,30,1,1,63711.16,63711.16,"En 'todo_el_tiempo', el emisor P0147 pagó de forma mensual recurrente al receptor P0016 durante 1 meses consecutivos, siempre cerca del día 30. Se identificaron 1 pagos por un total de 63,711.16 y un promedio mensual de 63,711.16, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
todo_el_tiempo,P0030,P0272,28,1,1,62603.42,62603.42,"En 'todo_el_tiempo', el emisor P0030 pagó de forma mensual recurrente al receptor P0272 durante 1 meses consecutivos, siempre cerca del día 28. Se identificaron 1 pagos por un total de 62,603.42 y un promedio mensual de 62,603.42, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
todo_el_tiempo,P0317,P0033,18,1,1,62494.23,62494.23,"En 'todo_el_tiempo', el emisor P0317 pagó de forma mensual recurrente al receptor P0033 durante 1 meses consecutivos, siempre cerca del día 18. Se identificaron 1 pagos por un total de 62,494.23 y un promedio mensual de 62,494.23, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
todo_el_tiempo,P0126,P0065,6,1,1,61410.1,61410.1,"En 'todo_el_tiempo', el emisor P0126 pagó de forma mensual recurrente al receptor P0065 durante 1 meses consecutivos, siempre cerca del día 6. Se identificaron 1 pagos por un total de 61,410.10 y un promedio mensual de 61,410.10, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
todo_el_tiempo,P0121,P0088,27,1,1,60942.41,60942.41,"En 'todo_el_tiempo', el emisor P0121 pagó de forma mensual recurrente al receptor P0088 durante 1 meses consecutivos, siempre cerca del día 27. Se identificaron 1 pagos por un total de 60,942.41 y un promedio mensual de 60,942.41, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
todo_el_tiempo,P0022,P0019,8,1,1,59301.05,59301.05,"En 'todo_el_tiempo', el emisor P0022 pagó de forma mensual recurrente al receptor P0019 durante 1 meses consecutivos, siempre cerca del día 8. Se identificaron 1 pagos por un total de 59,301.05 y un promedio mensual de 59,301.05, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
todo_el_tiempo,P0030,P0192,28,1,1,58572.67,58572.67,"En 'todo_el_tiempo', el emisor P0030 pagó de forma mensual recurrente al receptor P0192 durante 1 meses consecutivos, siempre cerca del día 28. Se identificaron 1 pagos por un total de 58,572.67 y un promedio mensual de 58,572.67, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
todo_el_tiempo,P0006,P0306,24,1,1,58349.57,58349.57,"En 'todo_el_tiempo', el emisor P0006 pagó de forma mensual recurrente al receptor P0306 durante 1 meses consecutivos, siempre cerca del día 24. Se identificaron 1 pagos por un total de 58,349.57 y un promedio mensual de 58,349.57, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
todo_el_tiempo,P0110,P0153,17,1,1,58007.48,58007.48,"En 'todo_el_tiempo', el emisor P0110 pagó de forma mensual recurrente al receptor P0153 durante 1 meses consecutivos, siempre cerca del día 17. Se identificaron 1 pagos por un total de 58,007.48 y un promedio mensual de 58,007.48, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
todo_el_tiempo,P0111,P0089,18,1,1,57435.57,57435.57,"En 'todo_el_tiempo', el emisor P0111 pagó de forma mensual recurrente al receptor P0089 durante 1 meses consecutivos, siempre cerca del día 18. Se identificaron 1 pagos por un total de 57,435.57 y un promedio mensual de 57,435.57, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
todo_el_tiempo,P0166,P0255,19,1,1,57212.84,57212.84,"En 'todo_el_tiempo', el emisor P0166 pagó de forma mensual recurrente al receptor P0255 durante 1 meses consecutivos, siempre cerca del día 19. Se identificaron 1 pagos por un total de 57,212.84 y un promedio mensual de 57,212.84, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
todo_el_tiempo,P0091,P0161,20,1,1,56639.7,56639.7,"En 'todo_el_tiempo', el emisor P0091 pagó de forma mensual recurrente al receptor P0161 durante 1 meses consecutivos, siempre cerca del día 20. Se identificaron 1 pagos por un total de 56,639.70 y un promedio mensual de 56,639.70, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
todo_el_tiempo,P0043,P0022,4,1,1,56467.45,56467.45,"En 'todo_el_tiempo', el emisor P0043 pagó de forma mensual recurrente al receptor P0022 durante 1 meses consecutivos, siempre cerca del día 4. Se identificaron 1 pagos por un total de 56,467.45 y un promedio mensual de 56,467.45, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
