timeframe,persona,caso14_persona_tx_de_emisores_nuevos,caso14_persona_monto_de_emisores_nuevos,caso14_persona_emisores_nuevos_unicos,caso14_persona_monto_promedio_de_emisores_nuevos,interpretabilidad
todo_el_tiempo,P0101,1.0,47793.82,1.0,47793.82,"Dentro de 'todo_el_tiempo', la persona P0101 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 47,793.82 con un promedio individual de 47,793.82. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0290,1.0,45674.75,1.0,45674.75,"Dentro de 'todo_el_tiempo', la persona P0290 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 45,674.75 con un promedio individual de 45,674.75. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0035,1.0,42344.12,1.0,42344.12,"Dentro de 'todo_el_tiempo', la persona P0035 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 42,344.12 con un promedio individual de 42,344.12. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0166,1.0,39692.88,1.0,39692.88,"Dentro de 'todo_el_tiempo', la persona P0166 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 39,692.88 con un promedio individual de 39,692.88. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0119,1.0,38951.37,1.0,38951.37,"Dentro de 'todo_el_tiempo', la persona P0119 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 38,951.37 con un promedio individual de 38,951.37. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0248,1.0,37436.87,1.0,37436.87,"Dentro de 'todo_el_tiempo', la persona P0248 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 37,436.87 con un promedio individual de 37,436.87. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0144,1.0,36918.54,1.0,36918.54,"Dentro de 'todo_el_tiempo', la persona P0144 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 36,918.54 con un promedio individual de 36,918.54. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0295,1.0,34737.22,1.0,34737.22,"Dentro de 'todo_el_tiempo', la persona P0295 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 34,737.22 con un promedio individual de 34,737.22. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0230,1.0,32582.74,1.0,32582.74,"Dentro de 'todo_el_tiempo', la persona P0230 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 32,582.74 con un promedio individual de 32,582.74. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0048,1.0,32070.84,1.0,32070.84,"Dentro de 'todo_el_tiempo', la persona P0048 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 32,070.84 con un promedio individual de 32,070.84. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0287,1.0,31745.28,1.0,31745.28,"Dentro de 'todo_el_tiempo', la persona P0287 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 31,745.28 con un promedio individual de 31,745.28. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0260,1.0,28044.59,1.0,28044.59,"Dentro de 'todo_el_tiempo', la persona P0260 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 28,044.59 con un promedio individual de 28,044.59. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0314,1.0,27124.93,1.0,27124.93,"Dentro de 'todo_el_tiempo', la persona P0314 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 27,124.93 con un promedio individual de 27,124.93. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0169,1.0,24976.29,1.0,24976.29,"Dentro de 'todo_el_tiempo', la persona P0169 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 24,976.29 con un promedio individual de 24,976.29. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0288,1.0,22652.94,1.0,22652.94,"Dentro de 'todo_el_tiempo', la persona P0288 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 22,652.94 con un promedio individual de 22,652.94. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0167,1.0,21652.08,1.0,21652.08,"Dentro de 'todo_el_tiempo', la persona P0167 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 21,652.08 con un promedio individual de 21,652.08. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0225,1.0,20935.41,1.0,20935.41,"Dentro de 'todo_el_tiempo', la persona P0225 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 20,935.41 con un promedio individual de 20,935.41. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0123,1.0,19156.88,1.0,19156.88,"Dentro de 'todo_el_tiempo', la persona P0123 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 19,156.88 con un promedio individual de 19,156.88. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0262,1.0,18376.72,1.0,18376.72,"Dentro de 'todo_el_tiempo', la persona P0262 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 18,376.72 con un promedio individual de 18,376.72. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0057,1.0,17088.18,1.0,17088.18,"Dentro de 'todo_el_tiempo', la persona P0057 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 17,088.18 con un promedio individual de 17,088.18. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0115,1.0,16826.42,1.0,16826.42,"Dentro de 'todo_el_tiempo', la persona P0115 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 16,826.42 con un promedio individual de 16,826.42. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0220,1.0,15206.21,1.0,15206.21,"Dentro de 'todo_el_tiempo', la persona P0220 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 15,206.21 con un promedio individual de 15,206.21. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0208,1.0,14060.86,1.0,14060.86,"Dentro de 'todo_el_tiempo', la persona P0208 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 14,060.86 con un promedio individual de 14,060.86. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0213,1.0,13838.75,1.0,13838.75,"Dentro de 'todo_el_tiempo', la persona P0213 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 13,838.75 con un promedio individual de 13,838.75. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0107,1.0,13755.28,1.0,13755.28,"Dentro de 'todo_el_tiempo', la persona P0107 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 13,755.28 con un promedio individual de 13,755.28. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0259,1.0,13595.24,1.0,13595.24,"Dentro de 'todo_el_tiempo', la persona P0259 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 13,595.24 con un promedio individual de 13,595.24. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0122,1.0,12571.12,1.0,12571.12,"Dentro de 'todo_el_tiempo', la persona P0122 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 12,571.12 con un promedio individual de 12,571.12. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0239,1.0,10813.56,1.0,10813.56,"Dentro de 'todo_el_tiempo', la persona P0239 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 10,813.56 con un promedio individual de 10,813.56. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0037,1.0,10583.32,1.0,10583.32,"Dentro de 'todo_el_tiempo', la persona P0037 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 10,583.32 con un promedio individual de 10,583.32. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0320,1.0,8764.35,1.0,8764.35,"Dentro de 'todo_el_tiempo', la persona P0320 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 8,764.35 con un promedio individual de 8,764.35. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0186,1.0,8601.16,1.0,8601.16,"Dentro de 'todo_el_tiempo', la persona P0186 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 8,601.16 con un promedio individual de 8,601.16. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0022,1.0,8253.44,1.0,8253.44,"Dentro de 'todo_el_tiempo', la persona P0022 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 8,253.44 con un promedio individual de 8,253.44. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0279,1.0,7803.11,1.0,7803.11,"Dentro de 'todo_el_tiempo', la persona P0279 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 7,803.11 con un promedio individual de 7,803.11. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0066,1.0,7682.36,1.0,7682.36,"Dentro de 'todo_el_tiempo', la persona P0066 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 7,682.36 con un promedio individual de 7,682.36. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0083,1.0,7182.46,1.0,7182.46,"Dentro de 'todo_el_tiempo', la persona P0083 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 7,182.46 con un promedio individual de 7,182.46. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0162,1.0,7071.58,1.0,7071.58,"Dentro de 'todo_el_tiempo', la persona P0162 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 7,071.58 con un promedio individual de 7,071.58. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0298,1.0,7014.36,1.0,7014.36,"Dentro de 'todo_el_tiempo', la persona P0298 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 7,014.36 con un promedio individual de 7,014.36. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0192,1.0,6970.75,1.0,6970.75,"Dentro de 'todo_el_tiempo', la persona P0192 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 6,970.75 con un promedio individual de 6,970.75. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0160,1.0,6832.55,1.0,6832.55,"Dentro de 'todo_el_tiempo', la persona P0160 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 6,832.55 con un promedio individual de 6,832.55. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0063,1.0,6266.33,1.0,6266.33,"Dentro de 'todo_el_tiempo', la persona P0063 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 6,266.33 con un promedio individual de 6,266.33. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0274,1.0,5812.3,1.0,5812.3,"Dentro de 'todo_el_tiempo', la persona P0274 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 5,812.30 con un promedio individual de 5,812.30. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0039,1.0,5718.91,1.0,5718.91,"Dentro de 'todo_el_tiempo', la persona P0039 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 5,718.91 con un promedio individual de 5,718.91. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0227,1.0,5215.24,1.0,5215.24,"Dentro de 'todo_el_tiempo', la persona P0227 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 5,215.24 con un promedio individual de 5,215.24. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0017,1.0,5153.82,1.0,5153.82,"Dentro de 'todo_el_tiempo', la persona P0017 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 5,153.82 con un promedio individual de 5,153.82. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0114,1.0,4880.56,1.0,4880.56,"Dentro de 'todo_el_tiempo', la persona P0114 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 4,880.56 con un promedio individual de 4,880.56. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0013,1.0,4801.33,1.0,4801.33,"Dentro de 'todo_el_tiempo', la persona P0013 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 4,801.33 con un promedio individual de 4,801.33. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0175,1.0,2344.03,1.0,2344.03,"Dentro de 'todo_el_tiempo', la persona P0175 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 2,344.03 con un promedio individual de 2,344.03. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0086,1.0,1782.53,1.0,1782.53,"Dentro de 'todo_el_tiempo', la persona P0086 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 1,782.53 con un promedio individual de 1,782.53. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0104,1.0,1706.38,1.0,1706.38,"Dentro de 'todo_el_tiempo', la persona P0104 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 1,706.38 con un promedio individual de 1,706.38. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0025,1.0,1547.65,1.0,1547.65,"Dentro de 'todo_el_tiempo', la persona P0025 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 1,547.65 con un promedio individual de 1,547.65. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0150,1.0,1448.75,1.0,1448.75,"Dentro de 'todo_el_tiempo', la persona P0150 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 1,448.75 con un promedio individual de 1,448.75. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0106,1.0,1146.47,1.0,1146.47,"Dentro de 'todo_el_tiempo', la persona P0106 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 1,146.47 con un promedio individual de 1,146.47. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0318,1.0,1061.02,1.0,1061.02,"Dentro de 'todo_el_tiempo', la persona P0318 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 1,061.02 con un promedio individual de 1,061.02. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0027,1.0,1051.89,1.0,1051.89,"Dentro de 'todo_el_tiempo', la persona P0027 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 1,051.89 con un promedio individual de 1,051.89. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
